EXPIRATION,SIG,WFO,MSG_TYPE,PHENOM,URL,PROD_TYPE,ISSUANCE,WARNID,EVENT
,W,KLZK,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984554-3382163,Flood Warning,2020-01-02T18:00:00+00:00,O.EXT.KLZK.FL.W.0122.1577988000,"0122"
,W,KLZK,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984553-3382162,Flood Warning,2020-01-02T15:26:00+00:00,O.CON.KLZK.FL.W.0117.1577978760,"0117"
2020-01-06T08:18:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984552-3382161,Flood Warning,2020-01-04T22:17:00+00:00,O.EXT.KJAN.FL.W.0020.1578176220,"0020"
2020-01-05T19:38:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984551-3382160,Flood Warning,2020-01-04T00:45:00+00:00,O.CON.KJAN.FL.W.0015.1578098700,"0015"
2020-01-03T23:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984545-3382154,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0179.1577978400,"0179"
2020-01-03T09:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984546-3382155,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0001.1577978400,"0001"
2020-01-03T09:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984546-3382155,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0001.1577978400,"0001"
2020-01-03T02:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984550-3382159,Small Craft Advisory,2020-01-02T16:00:00+00:00,O.CON.KBOX.SC.Y.0001.1577980800,"0001"
2020-01-03T02:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984550-3382159,Small Craft Advisory,2020-01-02T16:00:00+00:00,O.CON.KBOX.SC.Y.0001.1577980800,"0001"
2020-01-03T02:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984548-3382157,Small Craft Advisory,2020-01-02T16:00:00+00:00,O.CON.KBOX.SC.Y.0178.1577980800,"0178"
2020-01-03T23:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984549-3382158,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0178.1577978400,"0178"
2020-01-03T23:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984544-3382153,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0178.1577978400,"0178"
2020-01-03T09:00:00+00:00,Y,KBOX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984547-3382156,Small Craft Advisory,2020-01-02T15:20:00+00:00,O.CON.KBOX.SC.Y.0178.1577978400,"0178"
,W,KJAX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984543-3382152,Flood Warning,2020-01-02T15:15:00+00:00,O.CON.KJAX.FL.W.0016.1577978100,"0016"
2020-01-05T12:00:00+00:00,W,KJAX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984541-3382150,Flood Warning,2020-01-02T15:15:00+00:00,O.CON.KJAX.FL.W.0018.1577978100,"0018"
,W,KJAX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984542-3382151,Flood Warning,2020-01-02T15:15:00+00:00,O.EXT.KJAX.FL.W.0017.1577978100,"0017"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
2020-01-03T00:00:00+00:00,Y,KLIX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984540-3382149,Wind Advisory,2020-01-02T15:14:00+00:00,O.CON.KLIX.WI.Y.0001.1577978040,"0001"
