Name,Location,Latitude,Longitude
KABR,ABERDEEN SD,45.45583,-98.41306
KABX,ALBUQUERQUE NM,35.14972,-106.82333
KAKQ,NORFOLK RICH VA,36.98389,-77.0075
KAMA,AMARILLO TX,35.23333,-101.70889
KAMX,MIAMI FL,25.61056,-80.41306
KAPX,GAYLORD MI,44.90722,-84.71972
KARX,LA CROSSE WI,43.82278,-91.19111
KATX,SEATTLE WA,48.19472,-122.49444
KBBX,BEALE AFB CA,39.49611,-121.63167
KBGM,BINGHAMTON NY,42.19972,-75.985
KBHX,EUREKA CA,40.49833,-124.29194
KBIS,BISMARCK ND,46.77083,-100.76028
KBLX,BILLINGS MT,45.85389,-108.60611
KBMX,BIRMINGHAM AL,33.17194,-86.76972
KBOX,BOSTON MA,41.95583,-71.1375
KBRO,BROWNSVILLE TX,25.91556,-97.41861
KBUF,BUFFALO NY,42.94861,-78.73694
KBYX,KEY WEST FL,24.59694,-81.70333
KCAE,COLUMBIA SC,33.94861,-81.11861
KCBW,HOULTON ME,46.03917,-67.80694
KCBX,BOISE ID,43.49083,-116.23444
KCCX,STATE COLLEGE PA,40.92306,-78.00389
KCLE,CLEVELAND OH,41.41306,-81.86
KCLX,CHARLESTON SC,32.65556,-81.04222
KCRI,ROC FAA REDUNDANT RDA 1 OK,35.2383,-97.4602
KCRP,CORPUS CHRISTI TX,27.78389,-97.51083
KCXX,BURLINGTON VT,44.51111,-73.16639
KCYS,CHEYENNE WY,41.15194,-104.80611
KDAX,SACRAMENTO CA,38.50111,-121.67667
KDDC,DODGE CITY KS,37.76083,-99.96833
KDFX,LAUGHLIN AFB TX,29.2725,-100.28028
KDGX,JACKSON BRANDON MS,32.28,-89.98444
KDIX,PHILADELPHIA NJ,39.94694,-74.41111
KDLH,DULUTH MN,46.83694,-92.20972
KDMX,DES MOINES IA,41.73111,-93.72278
KDOX,DOVER AFB DE,38.82556,-75.44
KDTX,DETROIT MI,42.69972,-83.47167
KDVN,DAVENPORT IA,41.61167,-90.58083
KDYX,DYESS AFB TX,32.53833,-99.25417
KEAX,KANSAS CITY MO,38.81028,-94.26417
KEMX,TUCSON AZ,31.89361,-110.63028
KENX,ALBANY NY,42.58639,-74.06444
KEOX,FORT RUCKER AL,31.46028,-85.45944
KEPZ,EL PASO NM,31.87306,-106.6975
KESX,LAS VEGAS NV,35.70111,-114.89139
KEVX,EGLIN AFB FL,30.56417,-85.92139
KEWX,AUSTIN SAN ANTONIO TX,29.70361,-98.02806
KEYX,EDWARDS CA,35.09778,-117.56
KFCX,ROANOKE VA,37.02417,-80.27417
KFDR,ALTUS AFB OK,34.36222,-98.97611
KFDX,CANNON AFB NM,34.63528,-103.62944
KFFC,ATLANTA GA,33.36333,-84.56583
KFSD,SIOUX FALLS SD,43.58778,-96.72889
KFSX,FLAGSTAFF AZ,34.57444,-111.19833
KFTG,DENVER FRONT RANGE AP CO,39.78667,-104.54528
KFWS,DALLAS TX,32.57278,-97.30278
KGGW,GLASGOW MT,48.20639,-106.62417
KGJX,GRAND JUNCTION CO,39.06222,-108.21306
KGLD,GOODLAND KS,39.36694,-101.7
KGRB,GREEN BAY WI,44.49833,-88.11111
KGRK,FORT HOOD TX,30.72167,-97.38278
KGRR,GRAND RAPIDS MI,42.89389,-85.54472
KGSP,GREER SC,34.88306,-82.22028
KGWX,COLUMBUS AFB MS,33.89667,-88.32889
KGYX,PORTLAND ME,43.89139,-70.25694
KHDX,HOLLOMAN AFB NM,33.07639,-106.12222
KHGX,HOUSTON TX,29.47194,-95.07889
KHNX,SAN JOAQUIN VALLEY CA,36.31417,-119.63111
KHPX,FORT CAMPBELL KY,36.73667,-87.285
KHTX,HUNTSVILLE AL,34.93056,-86.08361
KICT,WICHITA KS,37.65444,-97.4425
KICX,CEDAR CITY UT,37.59083,-112.86222
KILN,CINCINNATI OH,39.42028,-83.82167
KILX,LINCOLN IL,40.15056,-89.33667
KIND,INDIANAPOLIS IN,39.7075,-86.28028
KINX,TULSA OK,36.175,-95.56444
KIWA,PHOENIX AZ,33.28917,-111.66917
KIWX,FORT WAYNE IN,41.40861,-85.7
KJAX,JACKSONVILLE FL,30.48444,-81.70194
KJGX,ROBINS AFB GA,32.675,-83.35111
KJKL,JACKSON KY,37.59083,-83.31306
KLBB,LUBBOCK TX,33.65417,-101.81361
KLCH,LAKE CHARLES LA,30.125,-93.21583
KLGX,LANGLEY HILL NW WASHINGTON WA,47.1158,-124.1069
KLIX,NEW ORLEANS LA,30.33667,-89.82528
KLNX,NORTH PLATTE NE,41.95778,-100.57583
KLOT,CHICAGO IL,41.60444,-88.08472
KLRX,ELKO NV,40.73972,-116.80278
KLSX,ST LOUIS MO,38.69889,-90.68278
KLTX,WILMINGTON NC,33.98917,-78.42917
KLVX,LOUISVILLE KY,37.97528,-85.94389
KLWX,STERLING VA,38.97628,-77.48751
KLZK,LITTLE ROCK AR,34.83639,-92.26194
KMAF,MIDLAND ODESSA TX,31.94333,-102.18889
KMAX,MEDFORD OR,42.08111,-122.71611
KMBX,MINOT AFB ND,48.3925,-100.86444
KMHX,MOREHEAD CITY NC,34.77583,-76.87639
KMKX,MILWAUKEE WI,42.96778,-88.55056
KMLB,MELBOURNE FL,28.11306,-80.65444
KMOB,MOBILE AL,30.67944,-88.23972
KMPX,MINNEAPOLIS MN,44.84889,-93.56528
KMQT,MARQUETTE MI,46.53111,-87.54833
KMRX,KNOXVILLE TN,36.16833,-83.40194
KMSX,MISSOULA MT,47.04111,-113.98611
KMTX,SALT LAKE CITY UT,41.26278,-112.44694
KMUX,SAN FRANCISCO CA,37.15528,-121.8975
KMVX,GRAND FORKS ND,47.52806,-97.325
KMXX,MAXWELL AFB AL,32.53667,-85.78972
KNKX,SAN DIEGO CA,32.91889,-117.04194
KNQA,MEMPHIS TN,35.34472,-89.87333
KOAX,OMAHA NE,41.32028,-96.36639
KOHX,NASHVILLE TN,36.24722,-86.5625
KOKX,NEW YORK CITY NY,40.86556,-72.86444
KOTX,SPOKANE WA,47.68056,-117.62583
KPAH,PADUCAH KY,37.06833,-88.77194
KPBZ,PITTSBURGH PA,40.53167,-80.21833
KPDT,PENDLETON OR,45.69056,-118.85278
KPOE,FORT POLK LA,31.15528,-92.97583
KPUX,PUEBLO CO,38.45944,-104.18139
KRAX,RALEIGH DURHAM NC,35.66528,-78.49
KRGX,RENO NV,39.75417,-119.46111
KRIW,RIVERTON WY,43.06611,-108.47667
KRLX,CHARLESTON WV,38.31194,-81.72389
KRTX,PORTLAND OR,45.715,-122.96417
KSFX,POCATELLO ID,43.10583,-112.68528
KSGF,SPRINGFIELD MO,37.23528,-93.40028
KSHV,SHREVEPORT LA,32.45056,-93.84111
KSJT,SAN ANGELO TX,31.37111,-100.49222
KSOX,SANTA ANA MOUNTAINS CA,33.81778,-117.635
KSRX,FORT SMITH AR,35.29056,-94.36167
KTBW,TAMPA FL,27.70528,-82.40194
KTFX,GREAT FALLS MT,47.45972,-111.38444
KTLH,TALLAHASSEE FL,30.3975,-84.32889
KTLX,OKLAHOMA CITY OK,35.33306,-97.2775
KTWX,TOPEKA KS,38.99694,-96.2325
KTYX,FORT DRUM NY,43.75583,-75.68
KUDX,RAPID CITY SD,44.125,-102.82944
KUEX,HASTINGS NE,40.32083,-98.44167
KVAX,MOODY AFB GA,30.89,-83.00194
KVBX,VANDENBERG AFB CA,34.83806,-120.39583
KVNX,VANCE AFB OK,36.74083,-98.1275
KVTX,LOS ANGELES CA,34.41167,-119.17861
KVWX,EVANSVILLE IN,38.26,-87.7247
KYUX,YUMA AZ,32.49528,-114.65583
LPLA,LAJES AB AZORES,38.73028,-27.32167
PABC,BETHEL FAA AK,60.79278,-161.87417
PACG,SITKA AK,56.85278,-135.52917
PAEC,NOME AK,64.51139,-165.295
PAHG,ANCHORAGE AK,60.725914,-151.35146
PAIH,MIDDLETON ISLAND AK,59.46194,-146.30111
PAKC,KING SALMON AK,58.67944,-156.62944
PAPD,FAIRBANKS AK,65.03556,-147.49917
PGUA,ANDERSEN AFB AGANA GU,13.45444,144.80833
PHKI,SOUTH KAUAI HI,21.89417,-159.55222
PHKM,KAMUELA HI,20.12556,-155.77778
PHMO,MOLOKAI HI,21.13278,-157.18
PHWA,SOUTH SHORE HI,19.095,-155.56889
RKJK,"KUNSAN KOREA, SOUTH",35.92417,126.62222
RKSG,"CAMP HUMPHREYS KOREA, SOUTH",36.95972,127.01833
RODN,KADENA JAPAN,26.30194,127.90972
TADW,ANDREWS AFB MD,38.695,-76.845
TALT,ATLANTA GA,33.646944,-84.261944
TBNA,NASHVILLE TN,35.98,-86.661944
TBOS,BOSTON MA,42.158056,-70.933056
TBWI,BALTIMORE WASHINGTON MD,39.09,-76.63
TCLT,CHARLOTTE NC,35.336944,-80.885
TCMH,COLUMBUS OH,40.006111,-82.715
TCVG,COVINGTON KY,38.898056,-84.58
TDAL,DALLAS LOVE FIELD TX,32.926111,-96.968056
TDAY,DAYTON OH,40.021944,-84.123056
TDCA,WASHINGTON NATIONAL MD,38.758889,-76.961944
TDEN,DENVER CO,39.728056,-104.52611
TDFW,DALLAS FT WORTH TX,33.065,-96.918056
TDTW,DETROIT MI,42.111111,-83.515
TEWR,NEWARK NJ,40.593056,-74.27
TFLL,FT LAUDERDALE FL,26.143056,-80.343889
THOU,HOUSTON HOBBY TX,29.516111,-95.241944
TIAD,WASHINGTON DULLES VA,39.083889,-77.528889
TIAH,HOUSTON INTERNATIONAL TX,30.065,-95.566944
TICH,WICHITA KS,37.506944,-97.436944
TIDS,INDIANAPOLIS IN,39.636944,-86.436111
TJBQ,RAFAEL HERNANDEZ AIRPORT PR,18.485,-67.143
TJFK,NEW YORK CITY JFK NY,40.588889,-73.881111
TJRV,JOSE APONTE DE LA TORRE AIRPOR PR,18.256,-65.637
TLAS,LAS VEGAS NV,36.143889,-115.00694
TLVE,CLEVELAND OH,41.29,-82.008056
TMCI,KANSAS CITY MO,39.498056,-94.741944
TMCO,ORLANDO INTERNATIONAL FL,28.343889,-81.326111
TMDW,CHICAGO MIDWAY IL,41.651111,-87.713333
TMEM,MEMPHIS MS,34.896111,-89.993056
TMIA,MIAMI FL,25.758056,-80.491111
TMKE,MILWAUKEE WI,42.818889,-88.046111
TMSP,MINNEAPOLIS MN,44.871111,-92.933056
TMSY,NEW ORLEANS LA,30.021944,-90.403056
TOKC,NORMAN WFO OK,35.276111,-97.51
TORD,CHICAGO OHARE IL,41.796944,-87.858056
