
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    -41                                                               
  925.0    686                                                               
  850.0   1458                                                               
  836.0   1611   31.2   -3.8     10   3.47    175      3  320.3  332.0  321.0
  834.0   1632   30.0   -2.0     12   3.98    163      3  319.3  332.5  320.1
  815.3   1829   28.2   -2.6     13   3.88     50      3  319.4  332.4  320.2
  787.1   2134   25.4   -3.6     14   3.73     65      2  319.7  332.1  320.4
  760.0   2438   22.6   -4.7     16   3.58     75      2  319.8  331.9  320.5
  733.7   2743   19.8   -5.7     17   3.43    315      2  320.0  331.6  320.7
  708.3   3048   16.9   -6.7     19   3.29    225      4  320.1  331.2  320.8
  700.0   3150   16.0   -7.0     20   3.25    225      5  320.2  331.1  320.8
  682.9   3353   14.2   -7.5     22   3.20    225      6  320.4  331.2  321.0
  658.0   3658   11.4   -8.2     24   3.14    275      8  320.7  331.4  321.3
  634.1   3962    8.7   -8.9     28   3.08    285     14  321.0  331.5  321.6
  611.0   4267    5.9   -9.7     32   3.02    280     17  321.3  331.5  321.9
  567.2   4877    0.4  -11.1     42   2.90    270     24  321.7  331.6  322.3
  551.0   5115   -1.7  -11.7     46   2.85    279     23  321.8  331.6  322.4
  520.0   5573   -4.3  -27.3     15   0.79    298     21  324.1  327.0  324.2
  500.0   5880   -6.3  -28.3     16   0.75    310     19  325.3  328.1  325.4
  486.4   6096   -7.4  -29.4     15   0.69    315     18  326.5  329.1  326.6
  474.0   6297   -8.5  -30.5     15   0.64    325     16  327.6  330.0  327.7
  467.6   6401   -9.4  -31.0     15   0.62    330     15  327.8  330.1  327.9
  400.0   7590  -19.5  -36.5     21   0.42    315     26  329.6  331.2  329.6
  398.4   7620  -19.8  -36.8     21   0.41    315     26  329.5  331.1  329.6
  397.0   7646  -20.1  -37.1     20   0.40    314     26  329.5  331.1  329.6
  366.4   8230  -24.4  -47.4     10   0.15    300     27  331.4  332.1  331.5
  352.0   8523  -26.5  -52.5      7   0.08    298     27  332.4  332.8  332.4
  322.3   9144  -32.0  -54.1      9   0.08    295     27  333.2  333.6  333.3
  300.0   9650  -36.5  -55.5     12   0.07    300     28  333.8  334.1  333.8
  271.0  10348  -42.3  -53.3     29   0.10    295     32  335.2  335.6  335.2
  270.4  10363  -42.4  -53.8     28   0.09    295     32  335.3  335.7  335.3
  263.0  10550  -43.5  -59.5     15   0.05    292     29  336.4  336.6  336.4
  258.4  10668  -44.5  -59.9     16   0.05    290     27  336.5  336.7  336.5
  250.0  10890  -46.5  -60.5     19   0.04    285     26  336.8  337.0  336.8
  238.0  11214  -49.5  -62.5     20   0.04    283     25  337.1  337.2  337.1
  224.7  11582  -52.3  -64.0     23   0.03    280     24  338.4  338.5  338.4
  200.0  12330  -57.9  -66.9     31   0.02    290     28  340.9  341.0  340.9
  183.0  12885  -62.3  -70.3     33   0.02    286     27  342.5  342.6  342.5
  176.5  13106  -63.2  -71.6     31   0.01    285     26  344.5  344.6  344.5
  167.9  13411  -64.5  -73.4     29   0.01    300     19  347.3  347.4  347.3
  159.7  13716  -65.9  -75.2     26   0.01    280     19  350.1  350.1  350.1
  150.0  14100  -67.5  -77.5     23   0.01    270     31  353.6  353.6  353.6
  148.0  14181  -68.3  -78.3     23   0.01    275     32  353.6  353.6  353.6
  144.5  14326  -67.2  -78.6     19   0.01    285     36  357.9  357.9  357.9
  135.0  14737  -64.3  -79.3     11   0.01    269     26  370.1  370.1  370.1
  124.2  15240  -66.2  -82.5      9   0.00    250     13  375.6  375.6  375.6
  111.0  15920  -68.7  -86.7      6   0.00    255     22  383.1  383.1  383.1
  101.0  16490  -65.3  -87.3      3   0.00    260     29  400.2  400.2  400.2
  100.0  16550  -65.7  -86.7      4   0.00    260     30  400.5  400.5  400.5
